IPC_number,IPC,Description
229,Personation of a juror or assessor,"Whoever, by personation or otherwise, shall intentionally cause, or knowingly suffer himself to be returned, empanelled or sworn as a juryman or assessor in any case in which he knows that he is not entitled by law to be so returned, empanelled or sworn, or knowing himself to have been so returned, empanelled or sworn contrary to law, shall voluntarily serve on such jury or as such assessor, "
255,Counterfeiting Government stamp,"—Whoever counterfeits, or knowingly performs any part
of the process of counterfeiting, any stamp issued by Government for the purpose of revenue 
"
256, Having possession of instrument or material for counterfeiting Government stamp.—,"Whoever has in his possession any instrument or material for the purpose of being used, or knowing or having reason to believe that it is intended to be used, for the purpose of counterfeiting any stamp issued by Government for the purpose of revenue,"
257,Making or selling instrument for counterfeiting Government stamp.,"Whoever makes or
performs any part of the process of making, or buys, or sells, or disposes or, any instrument for the
purpose of being used, or knowing or having reason to believe that it is intended to be used, for the
purpose of counterfeiting any stamp issued by Government for the purpose of revenue, 
"
258,Sale of counterfeit Government stamp,"Whoever sells, or offers for sale, any stamp which he
knows or has reason to believe to be a counterfeit of any stamp issued by Government for the purpose of
revenue,"
259,Having possession of counterfeit Government stamp,"Whoever has in his possession any
stamp which he knows to be a counterfeit of any stamp issued by Government for the purpose of revenue,
intending to use, or dispose of the same as a genuine stamp, or in order that it may be used as a genuine
stamp,
"
260,Using as genuine a Government stamp known to be counterfeit," Whoever uses as genuine
any stamp, knowing it to be a counterfeit of any stamp issued by Government for the purpose of revenue,"
261,"Effacing writing from substance bearing Government stamp, or removing from document
a stamp used for it, with intent to cause loss to Government.—","—Whoever, fraudulently or with intent to
cause loss to the Government, removes or effaces from any substance, bearing any stamp issued by
Government for the purpose of revenue, any writing or document for which such stamp has been used, or
removes from any writing or document a stamp which has been used for such writing or document, in
order that such stamp may be used for a different writing or document, "
262, Using Government stamp known to have been before used,"Whoever, fraudulently or with
intent to cause loss to the Government, uses for any purpose a stamp issued by Government for the
purpose of revenue, which he knows to have been before used,"
263,. Erasure of mark denoting that stamp has been used,"Whoever, fraudulently or with intent
to cause loss to Government, erases or removes from a stamp issued by Government for the purpose of
revenue, any mark, put or impressed upon such stamp for the purpose of denoting that the same has been
used, or knowingly has in his possession or sells or disposes of any such stamp from which such mark has
been erased or removed, or sells or disposes of any such stamp which he knows to have been used"
264,Fraudulent use of false instrument for weighing,"Whoever, fraudulently uses any instrument
for weighing which he knows to be false, "
265, Fraudulent use of false weight or measure.,"Whoever, fraudulently uses any false weight or
false measure of length or capacity, or fraudulently uses any weight or any measure of length or capacity
as a different weight or measure from what it is, "
266,Being in possession of false weight or measure.,"Whoever is in possession of any instrument
for weighing, or of any weight, or of any measure of length or capacity, which he knows to be false, *** intending that the same may be fraudulently used, "
267,Making or selling false weight or measure,"Whoever makes, sells or disposes of any
instrument for weighing, or any weight, or any measure of length or capacity which he knows to be false,
in order that the same may be used as true, or knowing that the same is likely to be used as true, "
269, Negligent act likely to spread infection of disease dangerous to life,"Whoever unlawfully or
negligently does any act which is, and which he knows or has reason to believe to be, likely to spread the
infection of any disease dangerous to life, 
"
270,Malignant act likely to spread infection of disease dangerous to life,"Whoever malignantly
does any act which is, and which he knows or has reason the believe to be, likely to spread the infection
of any disease dangerous to life, "
271,Disobedience to quarantine rule,"Whoever knowingly disobeys any rule made and
promulgated 2
 for putting any vessel into a state of quarantine, or for
regulating the intercourse of vessels in a state of quarantine with the shore or with other vessels, for
regulating the intercourse between places where an infectious disease prevails and other places, "
272,Adulteration of food or drink intended for sale.,"Whoever adulterates any article of food or
drink, so as to make such article noxious as food or drink, intending to sell such article as food or drink,
or knowing it to be likely that the same will be sold as food or drink, "
273,Sale of noxious food or drink.—,"Whoever sells, or offers or exposes for sale, as food or drink,
any article which has been rendered or has become noxious, or is in a state unfit for food or drink,
knowing or having reason to believe that the same is noxious as food or drink, "
274,Adulteration of drugs,"Whoever adulterates any drug or medical preparation in such a manner
as to lessen the efficacy or change the operation of such drug or medical preparation, or to make it
noxious, intending that it shall be sold or used for, or knowing it to be likely that it will be sold or used
for, any medicinal purpose, as if it had not undergone such adulteration, 
"
275,. Sale of adulterated drugs,"Whoever, knowing any drug or medical preparation to have been
adulterated in such a manner as to lessen its efficacy, to change its operation, or to render it noxious, sells the same, or offers or exposes it for sale, or issues it from any dispensary for medicinal purposes as
unadulterated, or causes it to be used for medicinal purposes by any person not knowing of the
adulteration,
"
276,Sale of drug as a different drug or preparation.,"Whoever knowingly sells, or offers or
exposes for sale, or issues from a dispensary for medicinal purposes, any drug or medical preparation, as a
different drug or medical preparation, "
277,Fouling water of public spring or reservoir,"Whoever voluntarily corrupts or fouls the water
of any public spring or reservoir, so as to render it less fit for the purpose for which it is ordinarily used,
"
278,Making atmosphere noxious to health,"Whoever voluntarily vitiates the atmosphere in any
place so as to make it noxious to the health of persons in general dwelling or carrying on business in the
neighbourhood or passing along a public way,
"
279, Rash driving or riding on a public way,"Whoever drives any vehicle, or rides, on any public
way in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt or injury to
any other person, "
280,Rash navigation of vessel.,"Whoever navigates any vessel in a manner so rash or negligent as
to endanger human life, or to be likely to cause hurt or injury to any other person, "
281,"Exhibition of false light, mark or buoy","Whoever exhibits any false light, mark or buoy,
intending or knowing it to be likely that such exhibition will mislead any navigator, "
282,Conveying person by water for hire in unsafe or overloaded vessel.,"Whoever knowingly or
negligently conveys, or causes to be conveyed for hire, any person by water in any vessel, when that
vessel is in such a state or so loaded as to endanger the life of that person, "
283,Danger or obstruction in public way or line of navigation.,"—Whoever, by doing any act, or
by omitting to take order with any property in his possession or under his charge, causes danger,
obstruction or injury to any person in any public way or public line of navigation, "
284,Negligent conduct with respect to poisonous substance,"Whoever does, with any poisonous
substance, any act in a manner so rash or negligent as to endanger human life, or to be likely to cause hurt
or injury to any person,
or knowingly or negligently omits to take such order with any poisonous substance in his possession
as is sufficient to guard against any probable danger to human life from such poisonous substance,

"
285,Negligent conduct with respect to fire or combustible matter,"Whoever does, with fire or any combustible matter, any act so rashly or negligently as to endanger human life, or to be likely to cause hurt or injury to any other person,"
286,Negligent conduct with respect to explosive substance.—,"Whoever does, with any explosive substance, any act so rashly or negligently as to endanger human life, or to be likely to cause hurt or injury to any other person, or knowingly or negligently omits to take such order with any explosive substance in his possession as is sufficient to guard against any probable danger to human life from that substance, "
287,Negligent conduct with respect to machinery.—,"Whoever does, with any machinery, any act so rashly or negligently as to endanger human life or to be likely to cause hurt or injury to any other person, or knowingly or negligently omits to take such order with any machinery in his possession or under his care as is sufficient to guard against any probable danger to human life from such machinery, "
288,. Negligent conduct with respect to pulling down or repairing buildings.—,"Whoever, in pulling down or repairing any building, knowingly or negligently omits to take such order with that building as is sufficient to guard against any probable danger to human life from the fall of that building, or of any part thereof, "
289,Negligent conduct with respect to animal.—,"Whoever knowingly or negligently omits to take such order with any animal in his possession as is sufficient to guard against any probable danger to human life, or any probable danger of grievous hurt from such animal, "
291,Continuance of nuisance after injunction to discontinue,"Whoever repeats or continues a public nuisance, having been enjoined by any public servant who has lawful authority to issue such injunction not to repeat or continue such nuisance, "
292,"Sale, etc., of obscene books, etc.—","2 [(1) For the purposes of sub-section (2), a book, pamphlet, paper, writing, drawing, painting, representation, figure or any other object, shall be deemed to be obscene if it is lascivious or appeals to the prurient interest or if its effect, or (where it comprises two or more distinct items) the effect of any one of its items, is, if taken as a whole, such as to tend to deprave and corrupt persons who are likely, having regard to all relevant circumstances, to read, see or hear the matter contained or embodied in it.]"
293,"Sale, etc., of obscene objects to young person.—","Whoever sells, lets to hire, distributes, exhibits or circulates to any person under the age of twenty years any such obscene object as is referred to in the last preceding section, or offers or attempts so to do, shall be punished 1 [on first conviction with imprisonment of either description for a term which may extend to three years, and with fine which may extend to two thousand rupees, and, in the event of a second or subsequent conviction,"
295,"Injuring or defiling place of worship, with intent to insult the religion of any class.—","
Whoever destroys, damages or defiles any place of worship, or any object held sacred by any class of
persons with the intention of thereby insulting the religion of any class of persons or with the knowledge
that any class of persons is likely to consider such destruction, damage or defilement as an insult to their
religion, "
296,Disturbing religious assembly.—,"Whoever voluntarily causes disturbance to any assembly
lawfully engaged in the performance of religious worship, or religious ceremonies, "
297,"Trespassing on burial places, etc.","Whoever, with the intention of wounding the feelings of any person, or of insulting the religion of any person or with the knowledge that the feelings of any person are likely to be wounded, or that the religion of any person is likely to be insulted thereby, commits any trespass in any place of worship or on any place of sepulture, or any place set apart for the performance of funeral rites or as a depository for the remains of the dead, or offers any indignity to any human corpse, or causes disturbance to any persons assembled for the performance of funeral ceremonies, "
298,". Uttering words, etc., with deliberate intent to wound religious feelings.—","Whoever, with the deliberate intention of wounding the religious feelings of any person, utters any word or makes any sound in the hearing of that person or makes any gesture in the sight of that persons or places any object in the sight of that person, "
300,Murder,"Except in the cases hereinafter excepted, culpable homicide is murder, if the act by
which the death is caused is done with the intention of causing death, or—
2ndly.—If it is done with the intention of causing such bodily injury as the offender knows to be
likely to cause the death of the person to whom the harm is caused, or—
3rdly.—If it is done with the intention of causing bodily injury to any person and the bodily injury
intended to be inflicted is sufficient in the ordinary course of nature to cause death, or—
4thly.—If the person committing the act knows that it is so imminently dangerous that it must, in all
probability, cause death, or such bodily injury as is likely to cause death, and commits such act without
any excuse for incurring the risk of causing death or such injury as aforesaid.
Illustrations
(a) A shoots Z with the intention of killing him. Z dies in consequence. A commits murder.
(b) A, knowing that Z is labouring under such a disease that a blow is likely to cause his death, strikes him with the intention
of causing bodily injury. Z dies in consequence of the blow. A is guilty of murder, although the blow might not have been
sufficient in the ordinary course of nature to cause the death of a person in a sound state of health. But if A, not knowing that Z is
labouring under any disease, gives him such a blow as would not in the ordinary course of nature kill a person in a sound state of
health, here A, although he may intend to cause bodily injury, is not guilty of murder, if he did not intend to cause death, or such
bodily injury as in the ordinary course of nature would cause death.
(c) A intentionally gives Z a sword-cut or club-wound sufficient to cause the death of a man in the ordinary course of nature.
Z dies in consequence. Here A is guilty of murder, although he may not have intended to cause Z's death.
(d) A without any excuse fires a loaded cannon into a crowd of persons and kills one of them. A is guilty of murder,
although he may not have had a premeditated design to kill any particular individual.
Exception 1.—When culpable homicide is not murder.—Culpable homicide is not murder if the
offender, whilst deprived of the power of self-control by grave and sudden provocation, causes the death
of the person who gave the provocation or causes the death of any other person by mistake or accident.
The above exception is subject to the following provisos:—
First.—That the provocation is not sought or voluntarily provoked by the offender as an excuse for
killing or doing harm to any person.
Secondly.—That the provocation is not given by anything done in obedience to the law, or by a public
servant in the lawful exercise of the powers of such public servant.
Thirdly.—That the provocation is not given by anything done in the lawful exercise of the right of
private defence.Explanation.—Whether the provocation was grave and sudden enough to prevent the offence from
amounting to murder is a question of fact.
Illustrations
(a) A, under the influence of passion excited by a provocation given by Z, intentionally kills Y, Z's child. This is murder,
inasmuch as the provocation was not given by the child, and the death of the child was not caused by accident or misfortune in
doing an act caused by the provocation.
(b) Y gives grave and sudden provocation to A. A, on this provocation, fires a pistol at Y, neither intending nor knowing
himself to be likely to kill Z, who is near him, but out of sight. A kills Z. Here A has not committed murder, but merely culpable
homicide.
(c) A is lawfully arrested by Z, a bailiff. A is excited to sudden and violent passion by the arrest, and kills Z. This is murder,
inasmuch as the provocation was given by a thing done by a public servant in the exercise of his powers.
(d) A appears as a witness before Z, a Magistrate. Z says that he does not believe a word of A's deposition, and that A has
perjured himself. A is moved to sudden passion by these words, and kills Z. This is murder.
(e)A attempts to pull Z's nose. Z, in the exercise of the right of private defence, lays hold of A to prevent him from doing so.
A is moved to sudden and violent passion in consequence, and kills Z. This is murder, inasmuch as the provocation was giving by
a thing done in the exercise of the right of private defence.
(f) Z strikes B. B is by this provocation excited to violent rage. A, a bystander, intending to take advantage of B's rage, and
to cause him to kill Z, puts a knife into B's hand for that purpose. B kills Z with the knife. Here B may have committed only
culpable homicide, but A is guilty of murder.
Exception 2.—Culpable homicide is not murder if the offender in the exercise in good faith of the
right of private defence of person or property, exceeds the power given to him by law and causes the
death of the person against whom he is exercising such right of defence without premeditation, and
without any intention of doing more harm than is necessary for the purpose of such defence.
Illustration
Z attempts to horsewhip A, not in such a manner as to cause grievous hurt to A. A draws out a pistol. Z persists in the
assault. A believing in good faith that he can by no other means prevent himself from being horsewhipped, shoots Z dead. A has
not committed murder, but only culpable homicide.
Exception 3.—Culpable homicide is not murder if the offender, being a public servant or aiding a
public servant acting for the advancement of public justice, exceeds the powers given to him by law, and
causes death by doing an act which he, in good faith, believes to be lawful and necessary for the due
discharge of his duty as such public servant and without ill-will towards the person whose death is
caused.
Exception 4.—Culpable homicide is not murder if it is committed without premeditation in a sudden
fight in the heat of passion upon a sudden quarrel and without the offender's having taken undue
advantage or acted in a cruel or unusual manner.
Explanation.—It is immaterial in such cases which party offers the provocation or commits the first
assault.
Exception 5.—Culpable homicide is not murder when the person whose death is caused, being above
the age of eighteen years, suffers death or takes the risk of death with his own consent.
Illustration
A, by instigation, voluntarily causes Z, a person under eighteen years of age to commit suicide. Here, on account of Z's
youth, he was incapable of giving consent to his own death; A has therefore abetted murder"
301,"Culpable homicide by causing death of person other than person whose death was
intended.","—If a person, by doing anything which he intends or knows to be likely to cause death,
commits culpable homicide by causing the death of any person, whose death he neither intends nor knows
himself to be likely to cause, the culpable homicide committed by the offender is of the description of
which it would have been if he had caused the death of the person whose death he intended or knew
himself to he likely to cause."
303,Punishment for murder by life-convict,"Whoever, being under sentence of 1
[imprisonment
for life], commits murder, shall be punished with death."
304,Punishment for culpable homicide not amounting to murder.,"Whoever commits culpable
homicide not amounting to murder, shall be punished with 1
[imprisonment for life], or imprisonment of
either description for a term which may extend to ten years, and shall also be liable to fine, if the act by
which the death is caused is done with the intention of causing death, or of causing such bodily injury as
is likely to cause death;
or with imprisonment of either description for a term which may extend to ten years, or with fine, or
with both, if the act is done with the knowledge that it is likely to cause death, but without any intention
to cause death, or to cause such bodily injury as is likely to cause death."
305,Abetment of suicide of child or insane person,"If any person under eighteen years of age,
any insane person, any delirious person, any idiot, or any person in a state of intoxication, commits
suicide, whoever abets the commission of such suicide, 
"
306,Abetment of suicide ,"—If any person commits suicide, whoever abets the commission of such
suicide, "
308,Attempt to commit culpable homicide.,"—Whoever does any act with such intention or
knowledge and under such circumstances that, if he by that act caused death, he would be guilty of
culpable homicide not amounting to murder, shall be punished with imprisonment of either description
for a term which may extend to three years, or with fine, or with both; and, if hurt is caused to any person
by such act, "
309,Attempt to commit suicide.—," Whoever attempts to commit suicide and does any act towards
the commission of such offence, "
310,Thug,"Whoever, at any time after the passing of this Act, shall have been habitually associated
with any other or others for the purpose of committing robbery or child-stealing by means of or
accompanied with murder, is a thug."
312,Causing Miscarraige,"Whoever voluntarily causes a woman with child to miscarry, shall, if such miscarriage be not caused in good faith for the purpose of saving the life of the woman, be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both; and, if the woman be quick with child,  Explanation.—A woman who causes herself to miscarry, is within the meaning of this section."
313,Causing Miscarraige without women's consent,"Whoever commits the offence defined in  the last preceding section without the consent of the woman, whether the woman is quick with child or  not,   "
314,Death caused by act done with intent to cause miscarriage.,"Whoever, with intent to cause the miscarriage of a woman with child, does any act which causes the death of such woman, 
Explanation.—It is not essential to this offence that the offender should know that the act is likely to  cause death. 
"
315,Act done with intent to prevent child being born alive or to cause it to die after birth,"Whoever before the birth of any child does any act with the intention of thereby preventing that child  from being born alive or causing it to die after its birth, and does by such act prevent that child from being  born alive, or causes it to die after its birth, shall, if such act be not caused in good faith for the purpose of  saving the life of the mother, "
316,Causing death of quick unborn child by act amounting to culpable homicide.,"Whoever  does any act under such circumstances, that if he thereby caused death he would be guilty of culpable  homicide, and does by such act cause the death of a quick unborn child,"
317,"Exposure and abandonment of child under twelve years, by parent or person having care of it.","Whoever being the father or mother of a child under the age of twelve years, or having the care of  such child, shall expose or leave such child in any place with the intention of wholly abandoning such  child, 
Explanation.—This section is not intended to prevent the trial of the offender for murder or culpable  homicide, as the case may be, if the child die in consequence of the exposure. 
"
318,Concealment of birth by secret disposal of dead body.,"Whoever, by secretly burying or  otherwise disposing of the dead body of a child whether such child die before or after or during its birth,  intentionally conceals or endeavors to conceal the birth of such child, .     burying, throwing of, disposing, dead body, child "
324,Voluntarily causing hurt by dangerous weapons or means.,"Whoever, except in the case
provided for by section 334, voluntarily causes hurt by means of any instrument for shooting, stabbing or
cutting, or any instrument which, used as a weapon of offence, is likely to cause death, or by means of fire
or any heated substance, or by means of any poison or any corrosive substance, or by means of any
explosive substance or by means of any substance which it is deleterious to the human body to inhale, to
swallow, or to receive into the blood, or by means of any animal,     hurt, shooting, cutting, stabbing, weapon, poison, explosives, fire"
326,Voluntarily causing grievous hurt by dangerous weapons or means.,"Whoever, except in
the case provided for by section 335, voluntarily causes grievous hurt by means of any instrument for
shooting, stabbing or cutting, or any instrument which, used as a weapon of offence, is likely to cause
death, or by means of fire or any heated substance, or by means of any poison or any corrosive substance,
or by means of any explosive substance, or by means of any substance which it is deleterious to the
human body to inhale, to swallow, or to receive into the blood, or by means of any animal,.      grevious hurt, shooting, cutting, stabbing, weapon, poison, explosives, fire"
327,"Voluntarily causing hurt to extort property, or to constrain to an illegal to an act","Whoever voluntarily causes hurt, for the purpose of extorting from the sufferer, or from any person
interested in the sufferer, any property or valuable security, or of constraining the sufferer or any person
interested in such sufferer to do anything which is illegal or which may facilitate the commission of an offence,       blackmail, hurt, property, valuables, commit offence"
328,"Causing hurt by means of poison, etc., with intent to commit and offence.","Whoever
administers to or causes to be taken by any person any poison or any stupefying, intoxicating or
unwholesome drug, or other thing with intent to cause hurt to such person, or with intent to commit or to
facilitate the commission of an offence or knowing it to be likely that he will thereby cause hurt, .   poison, drug, alcoholic, harmful to health"
329,"Voluntarily causing grievous hurt to extort property, or to constrain to an illegal act.","Whoever voluntarily causes grievous hurt for the purpose of extorting from the sufferer or from any
person interested in the sufferer any property or valuable security, or of constraining the sufferer or any
person interested in such sufferer to do anything that is illegal or which may facilitate the commission of
an offence,           blackmail, grevious hurt, property, valuables, commit offence"
330,"Voluntarily causing hurt to extort confession, or to compel restoration of property.","Whoever voluntarily causes hurt, for the purpose of extorting from the sufferer or from any person
interested in the sufferer, any confession or any information which may lead to the detection of an offence
or misconduct, or for the purpose of constraining the sufferer or any person interested in the sufferer to
restore or to cause the restoration of any property or valuable security or to satisfy any claim or demand,
or to give information which may lead to the restoration of any property or valuable security,        blackmail, threaten, information,  retake, restore, property"
331,"Voluntarily causing grievous hurt to extort confession, or to compel restoration of property.","Whoever voluntarily causes grievous hurt for the purpose of extorting from the sufferer or
from any person interested in the sufferer any confession or any information which may lead to the
detection of an offence or misconduct, or for the purpose of constraining the sufferer or any person
interested in the sufferer to restore or to cause the restoration of any property or valuable security, or to
satisfy any claim or demand or to give information which may lead to the restoration of any property or
valuable security, "
332,Voluntarily causing hurt to deter public servant from his duty,"Whoever voluntarily causes
hurt to any person being a public servant in the discharge of his duty as such public servant, or with intent
to prevent or deter that person or any other public servant from discharging his duty as such public
servant or in consequence of anything done or attempted to be done by that person in the lawful discharge
of his duty as such public servant,  minister, officer, public servant, hurt, duty, restrict"
333,Voluntarily causing grievous hurt to deter public servant from his duty.,"Whoever
voluntarily causes grievous hurt to any person being a public servant in the discharge of his duty as such
public servant, or with intent to prevent or deter that person or any other public servant from discharging
his duty as such public servant, or in consequence of anything done or attempted to be done by that
person in the lawful discharge of his duty as such public servant,    minister, officer, public servant, grevious hurt, duty, restrict, refrain"
334,Voluntarily causing hurt on provocation.,"Whoever voluntarily causes hurt on grave and
sudden provocation, if he neither intends nor knows himself to be likely to cause hurt to any person other
than the person who gave the provocation,     provoke, instigate, encourage, influence, hurt"
335,Voluntarily causing grievous hurt on provocation,"Whoever 1[voluntarily] causes grievous
hurt on grave and sudden provocation, if he neither intends nor knows himself to be likely to cause
grievous hurt to any person other than the person who gave the provocation,     provoke, instigate, encourage, influence, grevious hurt"
336,Act endangering life or personal safety of others,"Whoever does any act so rashly or
negligently as to endanger human life or the personal safety of others,      endanger, risk, put in danger, human life, personal security"
337,Causing hurt by act endangering life or personal safety of others,"Whoever causes hurt to
any person by doing any act so rashly or negligently as to endanger human life, or the personal safety of
others,        endanger, risk, put in danger, human life, personal security, hurt"
338,Causing grievous hurt by act endangering life or personal safety of others,"Whoever causes grievous hurt to any person by doing any act so rashly or negligently as to endanger human life, or
the personal safety of others,        endanger, risk, put in danger, human life, personal security, grevious hurt"
343,Wrongful confinement for three or more days.,"Whoever wrongfully confines any person for three days, or more, "
344,Wrongful confinement for ten or more days,"Whoever wrongfully confines any person for ten days, or more, "
345,Wrongful confinement of person for whose liberation writ has been issued,"Whoever keeps any person in wrongful confinement, knowing that a writ for the liberation of that person has been duly issued, "
346,Wrongful confinement in secret.,"Whoever wrongfully confines any person in such manner as
to indicate an intention that the confinement of such person may not be known to any person interested in
the person so confined, or to any public servant, or that the place of such confinement may not be known
to or discovered by any such person or public servant as hereinbefore mentioned,         secret, confine, trap, unkowingly, "
347,"Wrongful confinement to extort property, or constrain to illegal act","Whoever wrongfully confines any person for the purpose of extorting from the person confined, or from any person interested in the person confined, any property or valuable security or of constraining the person confined or any person interested in such person to do anything illegal or to give any information which may facilitate the commission of an offence, .      blackmail, confine, trap, property, extort"
348,"Wrongful confinement to extort confession, or compel restoration of property.","Whoever wrongfully confines any person for the purpose of extorting from the person confined or any person interested in the person confined any confession or any information which may lead to the detection of an offence or misconduct, or for the purpose of constraining the person confined or any person interested in the person confined to restore or to cause the restoration of any property or valuable security or to satisfy any claim or demand, or to give information which may lead to the restoration of any property or valuable security, "
353,Assault or criminal force to deter public servant from discharge of his duty,"Whoever assaults or uses criminal force to any person being a public servant in the execution of his duty as such public servant, or with intent to prevent or deter that person from discharging his duty as such public servant, or in consequence of anything done or attempted to be done by such person to the lawful discharge of his duty as such public servant, "
354,Assault or criminal force to woman with intent to outrage her modesty,"whoever assaults or uses criminal force to any woman, intending to outrage or knowing it to be likely that he will there by
outrage her modesty, "
356,Assault or criminal force in attempt to commit theft of property carried by a person.—,"Whoever assaults or uses criminal force to any person, in attempting to commit theft on any property which that person is then wearing or carrying, "
357,. Assault or criminal force in attempt wrongfully to confine a person,"Whoever assaults or uses criminal force to any person, in attempting wrongfully to confine that person, "
358,Assault or criminal force on grave provocation,"Whoever assaults or uses criminal force to any person on grave and sudden provocation given by that person, "
360,Kidnapping from India,"Whoever conveys any person beyond the limits of India without
the consent of that person, or of some person legally authorised to consent on behalf of that person, is said
to kidnap that person from India."
361,Kidnapping from lawful guardianship.—,"Whoever takes or entices any minor under sixteen
years of age if a male, or under eighteen years of age if a female, or any person of unsound mind, out of
the keeping of the lawful guardian of such minor or person of unsound mind, without the consent of such
guardian, is said to kidnap such minor or person from lawful guardianship."
362,Abduction,"Whoever by force compels, or by any deceitful means induces, any person to go
from any place, is said to abduct that person."
364,Kidnapping or abducting in order to murder,"Whoever kidnaps or abducts any person in order that such person may be murdered or may be so disposed of as to be put in danger of being murdered, "
365,Kidnapping or abducting with intent secretly and wrongfully to confine person,"Whoever kidnaps or abducts any person with intent to cause that person to be secretly and wrongfully confined, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine."
366,". Kidnapping, abducting or inducing woman to compel her marriage, etc.—","Whoever kidnaps or abducts any woman with intent that she may be compelled, or knowing it to be likely that she will be compelled, to marry any person against her will, or in order that she may be forced or seduced to illicit intercourse, or knowing it to be likely that she will be forced or seduced to illicit intercourse, by means of criminal intimidation as defined in this Code or of abuse of authority or any other method of compulsion, induces any woman to go from any place with intent that she may be, or knowing that it is likely that she will be, forced or seduced to illicit intercourse with another person shall also be punishable as aforesaid]."
367,"Kidnapping or abducting in order to subject person to grievous hurt, slavery, etc","Whoever kidnaps or abducts any person in order that such person may be subjected, or may be so disposed of as to be put in danger of being subjected to grievous hurt, or slavery, or to the unnatural lust of any person, or knowing it to be likely that such person will be so subjected or disposed of, "
368,"Wrongfully concealing or keeping in confinement, kidnapped or abducted person","Whoever, knowing that any person has been kidnapped or has been abducted, wrongfully conceals or confines such person, shall be punished in the same manner as if he had kidnapped or abducted such person with the same intention or knowledge, or for the same purpose as that with or for which he conceals or detains such person in confinement"
369,Kidnapping or abducting child under ten years with intent to steal from its person,"Whoever kidnaps or abducts any child under the age of ten years with the intention of taking dishonestly any movable property from the person of such child, "
371,Habitual dealing in slaves,"Whoever habitually imports, exports, removes, buys, sells, traffics or deals in slaves, "
372,"Selling minor for purposes of prostitution, etc.—","Whoever sells, lets to hire, or otherwise disposes of any 2 [person under the age of eighteen years with intent that such person shall at any age be employed or used for the purpose of prostitution or illicit intercourse with any person or for any unlawful and immoral purpose, or knowing it to be likely that such person will at any age be] employed or used for any such purpose, [Explanation I.—When a female under the age of eighteen years is sold, let for hire, or otherwise
disposed of to a prostitute or to any person who keeps or manages a brothel, the person so disposing of
such female shall, until the contrary is proved, be presumed to have disposed of her with the intent that
she shall be used for the purpose of prostitution.
Explanation II.—For the purposes of this section “illicit intercourse” means sexual intercourse
between persons not united by marriage or by any union or tie which, though not amounting to a
marriage, is recognised by the personal law or custom of the community to which they belong or, where
they belong to different communities, of both such communities, as constituting between them a quasimarital relation.]
"
373,"Buying minor for purposes of prostitution, etc","Whoever buys, hires or otherwise obtains possession of any 2 [person under the age of eighteen years with intent that such person shall at any age be employed or used for the purpose of prostitution or illicit intercourse with any person or for any unlawful and immoral purpose, or knowing it to be likely that such person will at any age be] employed or used for any such purpose, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine. 3 [Explanation I.—Any prostitute or any person keeping or managing a brothel, who buys, hires or otherwise obtains possession of a female under the age of eighteen years shall, until the contrary is proved, be presumed to have obtained possession of such female with the intent that she shall be used for the purpose of prostitution. Explanation II.—“Illicit intercourse” has the same meaning as in section 372.]"
374,Unlawful compulsory labour,Whoever unlawfully compels any person to labour against the will of that person
375,Rape,"A man is said to commit “rape” if he—
(a) penetrates his penis, to any extent, into the vagina, mouth, urethra or anus of a woman or
makes her to do so with him or any other person; or
(b) inserts, to any extent, any object or a part of the body, not being the penis, into the vagina, the
urethra or anus of a woman or makes her to do so with him or any other person; or
(c) manipulates any part of the body of a woman so as to cause penetration into the vagina,
urethra, anus or any part of body of such woman or makes her to do so with him or any other person;
or
(d) applies his mouth to the vagina, anus, urethra of a woman or makes her to do so with him or
any other person,
under the circumstances falling under any of the following seven descriptions:—
First.—Against her will.
Secondly.—Without her consent.
Thirdly.—With her consent, when her consent has been obtained by putting her or any person in
whom she is interested, in fear of death or of hurt.
Fourthly.—With her consent, when the man knows that he is not her husband and that her
consent is given because she believes that he is another man to whom she is or believes herself to be
lawfully married. 
Fifthly.—With her consent when, at the time of giving such consent, by reason of unsoundness of
mind or intoxication or the administration by him personally or through another of any stupefying or
unwholesome substance, she is unable to understand the nature and consequences of that to which she
gives consent.
Sixthly.—With or without her consent, when she is under eighteen years of age.
Seventhly.—When she is unable to communicate consent.
Explanation 1.—For the purposes of this section, “vagina” shall also include labia majora.
Explanation 2.—Consent means an unequivocal voluntary agreement when the woman by words,
gestures or any form of verbal or non-verbal communication, communicates willingness to participate in
the specific sexual act:
Provided that a woman who does not physically resist to the act of penetration shall not by the reason
only of that fact, be regarded as consenting to the sexual activity.
Exception 1.—A medical procedure or intervention shall not constitute rape.
Exception 2.—Sexual intercourse or sexual acts by a man with his own wife, the wife not being under
fifteen years of age, is not rape."
380,"Theft in dwelling house, etc","Whoever commits theft in any building, tent or vessel, which
building, tent or vessel is used as a human dwelling, or used for the custody of property"
381,Theft by clerk or servant of property in possession of master,"Whoever, being a clerk or
servant, or being employed in the capacity of a clerk or servant, commits theft in respect of any property
in the possession of his master or employer"
